1, 203.0
2, 200.0
3, 194.0
4, 194.0
5, 193.0
6, 198.0
7, 194.0
8, 228.0
9, 195.0
10, 196.0
11, 193.0
12, 218.0
13, 208.0
14, 194.0
15, 191.0
16, 205.0
17, 194.0
18, 217.0
19, 196.0
20, 197.0
21, 196.0
22, 194.0
23, 196.0
24, 194.0
25, 197.0
26, 202.0
27, 197.0
28, 199.0
29, 195.0
30, 204.0
31, 194.0
32, 197.0
33, 196.0
34, 199.0
35, 195.0
36, 202.0
37, 192.0
38, 195.0
39, 197.0
40, 193.0
41, 191.0
42, 193.0
43, 198.0
44, 197.0
45, 192.0
46, 200.0
47, 199.0
48, 199.0
49, 202.0
50, 197.0
51, 192.0
52, 198.0
53, 197.0
54, 191.0
55, 195.0
56, 196.0
57, 196.0
58, 197.0
59, 195.0
60, 195.0
61, 202.0
62, 197.0
63, 197.0
64, 192.0
65, 193.0
66, 198.0
67, 197.0
68, 193.0
69, 194.0
70, 194.0
71, 200.0
72, 198.0
73, 196.0
74, 204.0
75, 200.0
76, 206.0
77, 193.0
78, 196.0
79, 192.0
80, 192.0
81, 208.0
82, 195.0
83, 192.0
84, 197.0
85, 192.0
86, 194.0
87, 202.0
88, 193.0
89, 195.0
90, 193.0
91, 191.0
92, 193.0
93, 192.0
94, 198.0
95, 192.0
96, 190.0
97, 212.0
98, 195.0
99, 199.0
100, 190.0
