1, 106
2, 126
3, 113
4, 107
5, 107
6, 103
7, 111
8, 106
9, 108
10, 104
11, 110
12, 105
13, 107
14, 106
15, 107
16, 107
17, 105
18, 103
19, 114
20, 105
21, 108
22, 111
23, 104
24, 106
25, 103
26, 103
27, 102
28, 113
29, 107
30, 112
31, 112
32, 110
33, 105
34, 105
35, 104
36, 113
37, 105
38, 111
39, 110
40, 106
41, 105
42, 104
43, 105
44, 104
45, 105
46, 112
47, 108
48, 106
49, 107
50, 112
51, 113
52, 110
53, 107
54, 105
55, 107
56, 106
57, 110
58, 106
59, 111
60, 107
61, 109
62, 106
63, 101
64, 111
65, 113
66, 103
67, 104
68, 108
69, 110
70, 106
71, 110
72, 106
73, 110
74, 108
75, 105
76, 107
77, 104
78, 106
79, 111
80, 106
81, 106
82, 103
83, 108
84, 105
85, 104
86, 104
87, 105
88, 104
89, 104
90, 105
91, 105
92, 104
93, 104
94, 106
95, 117
96, 104
97, 110
98, 106
99, 107
100, 104
