1, 104
2, 113
3, 107
4, 107
5, 110
6, 108
7, 111
8, 105
9, 104
10, 108
11, 112
12, 112
13, 104
14, 109
15, 105
16, 103
17, 102
18, 104
19, 109
20, 103
21, 103
22, 104
23, 104
24, 103
25, 103
26, 101
27, 105
28, 124
29, 104
30, 101
31, 104
32, 104
33, 103
34, 110
35, 107
36, 109
37, 107
38, 108
39, 105
40, 105
41, 104
42, 104
43, 108
44, 104
45, 104
46, 104
47, 110
48, 104
49, 104
50, 108
51, 104
52, 102
53, 109
54, 106
55, 104
56, 104
57, 102
58, 103
59, 111
60, 103
61, 104
62, 105
63, 103
64, 105
65, 110
66, 111
67, 108
68, 109
69, 109
70, 110
71, 107
72, 108
73, 104
74, 106
75, 103
76, 107
77, 111
78, 105
79, 109
80, 101
81, 104
82, 103
83, 104
84, 105
85, 104
86, 105
87, 105
88, 103
89, 104
90, 106
91, 102
92, 116
93, 114
94, 106
95, 108
96, 104
97, 102
98, 104
99, 106
100, 102
